|   Variable   |             Longname              |  Units  |     EC-Earth4 |      Obs.      |    Dataset     |   Years   |
|--------------+-----------------------------------+---------+---------------+----------------+----------------+-----------|
|   tas_land   |    2m Temperature (land-only)     | celsius |   13.0159     |  13.459±0.292  |      CRU       | 1981-2010 |
|     tas      |          2m Temperature           | celsius |   13.8091     |  14.686±0.184  | BERKELEY-EARTH | 1981-2010 |
|     psl      |      Mean Sea Level Pressure      |   hPa   | 1011.18       | 1011.386±0.068 |      ERA5      | 1981-2010 |
|      pr      |           Precipitation           | mm/day  |    2.73989    |  2.832±0.034   |     MSWEP      | 1981-2010 |
|   evspsbl    |            Evaporation            | mm/day  |   -2.74683    |  -2.856±0.072  |      ERA5      | 1981-2010 |
|     pme      |        Precip. minus Evap.        | mm/day  |   -0.00693335 |  0.045±0.041   |      ERA5      | 1981-2010 |
|     clt      |         Total Cloud Cover         |  frac   |    0.617926   |  0.676±0.002   |  EBAF_v4.2.1   | 2000-2010 |
|     cll      |          Low Cloud Cover          |  frac   |    0.323387   |  0.383±0.003   |      ERA5      | 1981-2010 |
|     clm      |        Medium Cloud Cover         |  frac   |    0.293841   |  0.246±0.003   |      ERA5      | 1981-2010 |
|     clh      |         High Cloud Cover          |  frac   |    0.387516   |   0.34±0.003   |      ERA5      | 1981-2010 |
|    pr_oce    |       Precipitation (ocean)       |   Sv    |   11.9924     |  13.284±0.216  |     MSWEP      | 1981-2010 |
|   pme_oce    |    Precip. minus Evap. (ocean)    |   Sv    |   -1.9097     |  -1.184±0.204  |      ERA5      | 1981-2010 |
|   pr_land    |       Precipitation (land)        |   Sv    |    4.1781     |  3.449±0.074   |     MSWEP      | 1981-2010 |
|   pme_land   |    Precip. minus Evap. (land)     |   Sv    |    1.86878    |  1.448±0.087   |      ERA5      | 1981-2010 |
|   net_toa    |              TOA Net              |  W/m2   |    6.33856    |  0.607±0.585   |   CERES EBAF   | 2000-2010 |
|     rsnt     |            TOA SW Net             |  W/m2   |  241.965      |  240.95±0.484  |   CERES EBAF   | 2000-2010 |
|     rlnt     |            TOA LW Net             |  W/m2   | -235.626      | -240.344±0.243 |   CERES EBAF   | 2000-2010 |
|    rsntcs    |      TOA SW Net (clear sky)       |  W/m2   |  285.48       | 286.792±0.593  |   CERES EBAF   | 2000-2010 |
|    rlntcs    |      TOA LW Net (clear sky)       |  W/m2   | -259.056      | -268.426±0.253 |   CERES EBAF   | 2000-2010 |
|     swcf     |         SW Cloud Forcing          |  W/m2   |  -43.5157     | -45.841±0.285  |   CERES EBAF   | 2000-2010 |
|     lwcf     |         LW Cloud Forcing          |  W/m2   |   23.4303     |  28.083±0.174  |   CERES EBAF   | 2000-2010 |
|     rsns     |          Surface Net SW           |  W/m2   |  164.375      |      160       |   Wild 2020    |     -     |
|     rlns     |          Surface Net LW           |  W/m2   |  -60.179      |      -56       |   Wild 2020    |     -     |
|     hfss     |    Surface Sensible Heat Flux     |  W/m2   |  -17.984      |      -21       |   Wild 2020    |     -     |
|     hfls     |     Surface Latent Heat Flux      |  W/m2   |  -79.5496     |      -82       |   Wild 2020    |     -     |
| net_sfc_nosn |     Net Surface (no snowfall)     |  W/m2   |    6.66269    |      0.6       |   Wild 2020    |     -     |
|   net_sfc    |            Net Surface            |  W/m2   |    5.8829     |      0.6       |   Wild 2020    |     -     |
| toamsfc_nosn | TOA - Sfc Net Radiation (no snow) |  W/m2   |   -0.324139   |       0        |      None      |     -     |
|   toamsfc    |      TOA - Sfc Net Radiation      |  W/m2   |    0.455652   |       0        |      None      |     -     |
