|   Variable   |             Longname              |  Units  |     EC-Earth4 |      Obs.      |  Dataset   |   Years   |
|--------------+-----------------------------------+---------+---------------+----------------+------------+-----------|
|     tas      |    2m Temperature (land-only)     | celsius |   13.5096     |  13.697±0.301  |    CRU     | 1991-2020 |
|     psl      |      Mean Sea Level Pressure      |   hPa   | 1011.14       | 1011.43±0.052  |    ERA5    | 1991-2020 |
|      pr      |           Precipitation           | mm/day  |    2.70002    |   2.85±0.039   |   MSWEP    | 1991-2020 |
|   evspsbl    |            Evaporation            | mm/day  |   -2.70707    |  -2.906±0.056  |    ERA5    | 1991-2020 |
|     pme      |        Precip. minus Evap.        | mm/day  |   -0.00705216 |  0.023±0.021   |    ERA5    | 1991-2020 |
|     clt      |         Total Cloud Cover         |  frac   |    0.636265   |  0.675±0.002   | CERES-EBAF | 2000-2020 |
|     cll      |          Low Cloud Cover          |  frac   |    0.331122   |  0.382±0.003   |    ERA5    | 1991-2020 |
|     clm      |        Medium Cloud Cover         |  frac   |    0.299284   |  0.248±0.003   |    ERA5    | 1991-2020 |
|     clh      |         High Cloud Cover          |  frac   |    0.410971   |  0.341±0.003   |    ERA5    | 1991-2020 |
|    pr_oce    |       Precipitation (ocean)       |   Sv    |   11.7072     |  13.395±0.235  |   MSWEP    | 1991-2020 |
|   pme_oce    |    Precip. minus Evap. (ocean)    |   Sv    |   -1.94167    |  -1.277±0.133  |    ERA5    | 1991-2020 |
|   pr_land    |       Precipitation (land)        |   Sv    |    4.22794    |  3.445±0.069   |   MSWEP    | 1991-2020 |
|   pme_land   |    Precip. minus Evap. (land)     |   Sv    |    1.90005    |  1.412±0.071   |    ERA5    | 1991-2020 |
|   net_toa    |              TOA Net              |  W/m2   |    8.99538    |  0.898±0.555   | CERES-EBAF | 2000-2020 |
|     rsnt     |            TOA SW Net             |  W/m2   |  242.413      | 241.341±0.606  | CERES-EBAF | 2000-2020 |
|     rlnt     |            TOA LW Net             |  W/m2   | -233.418      | -240.444±0.307 | CERES-EBAF | 2000-2020 |
|    rsntcs    |      TOA SW Net (clear sky)       |  W/m2   |  285.327      | 287.046±0.522  | CERES-EBAF | 2000-2020 |
|    rlntcs    |      TOA LW Net (clear sky)       |  W/m2   | -259.13       | -268.349±0.252 | CERES-EBAF | 2000-2020 |
|     swcf     |         SW Cloud Forcing          |  W/m2   |  -42.9135     | -45.705±0.331  | CERES-EBAF | 2000-2020 |
|     lwcf     |         LW Cloud Forcing          |  W/m2   |   25.7118     |  27.906±0.267  | CERES-EBAF | 2000-2020 |
|     rsns     |          Surface Net SW           |  W/m2   |  164.685      |      160       | Wild 2020  |     -     |
|     rlns     |          Surface Net LW           |  W/m2   |  -59.3787     |      -56       | Wild 2020  |     -     |
|     hfss     |            Surface SH             |  W/m2   |  -17.5794     |      -21       | Wild 2020  |     -     |
|     hfls     |            Surface LH             |  W/m2   |  -78.3995     |      -82       | Wild 2020  |     -     |
| net_sfc_nosn |     Net Surface (no snowfall)     |  W/m2   |    9.32691    |      0.6       | Wild 2020  |     -     |
|   net_sfc    |            Net Surface            |  W/m2   |    8.57619    |      0.6       | Wild 2020  |     -     |
| toamsfc_nosn | TOA - Sfc Net Radiation (no snow) |  W/m2   |   -0.331539   |       0        |    None    |     -     |
|   toamsfc    |      TOA - Sfc Net Radiation      |  W/m2   |    0.419188   |       0        |    None    |     -     |
