|   Variable   |             Longname              |  Units  |     EC-Earth4 |      Obs.      |    Dataset     |   Years   |
|--------------+-----------------------------------+---------+---------------+----------------+----------------+-----------|
|   tas_land   |    2m Temperature (land-only)     | celsius |   13.0662     |  13.914±0.251  |      CRU       | 2000-2024 |
|     tas      |          2m Temperature           | celsius |   13.8958     |  15.026±0.204  | BERKELEY-EARTH | 2000-2024 |
|     psl      |      Mean Sea Level Pressure      |   hPa   | 1011.16       | 1011.459±0.044 |      ERA5      | 2000-2024 |
|      pr      |           Precipitation           | mm/day  |    2.65518    |   2.87±0.025   |     MSWEP      | 2000-2024 |
|   evspsbl    |            Evaporation            | mm/day  |   -2.66195    |  -2.94±0.022   |      ERA5      | 2000-2024 |
|     pme      |        Precip. minus Evap.        | mm/day  |   -0.00677299 |  0.009±0.032   |      ERA5      | 2000-2024 |
|     clt      |         Total Cloud Cover         |  frac   |    0.645618   |  0.674±0.002   |  EBAF_v4.2.1   | 2000-2024 |
|     cll      |          Low Cloud Cover          |  frac   |    0.337974   |   0.38±0.005   |      ERA5      | 2000-2024 |
|     clm      |        Medium Cloud Cover         |  frac   |    0.32837    |  0.249±0.002   |      ERA5      | 2000-2024 |
|     clh      |         High Cloud Cover          |  frac   |    0.418017   |  0.342±0.003   |      ERA5      | 2000-2024 |
|    pr_oce    |       Precipitation (ocean)       |   Sv    |   11.8873     |  13.512±0.145  |     MSWEP      | 2000-2024 |
|   pme_oce    |    Precip. minus Evap. (ocean)    |   Sv    |   -1.62842    |  -1.319±0.166  |      ERA5      | 2000-2024 |
|   pr_land    |       Precipitation (land)        |   Sv    |    3.78325    |  3.444±0.069   |     MSWEP      | 2000-2024 |
|   pme_land   |    Precip. minus Evap. (land)     |   Sv    |    1.58845    |  1.372±0.076   |      ERA5      | 2000-2024 |
|   net_toa    |              TOA Net              |  W/m2   |    3.62341    |  1.016±0.595   |   CERES EBAF   | 2000-2024 |
|     rsnt     |            TOA SW Net             |  W/m2   |  233.703      | 241.556±0.762  |   CERES EBAF   | 2000-2024 |
|     rlnt     |            TOA LW Net             |  W/m2   | -230.08       | -240.54±0.407  |   CERES EBAF   | 2000-2024 |
|    rsntcs    |      TOA SW Net (clear sky)       |  W/m2   |  285.489      | 287.154±0.543  |   CERES EBAF   | 2000-2024 |
|    rlntcs    |      TOA LW Net (clear sky)       |  W/m2   | -258.017      | -268.361±0.289 |   CERES EBAF   | 2000-2024 |
|     swcf     |         SW Cloud Forcing          |  W/m2   |  -51.7863     |  -45.599±0.41  |   CERES EBAF   | 2000-2024 |
|     lwcf     |         LW Cloud Forcing          |  W/m2   |   27.9373     |  27.822±0.314  |   CERES EBAF   | 2000-2024 |
|     rsns     |          Surface Net SW           |  W/m2   |  155.476      |      160       |   Wild 2020    |     -     |
|     rlns     |          Surface Net LW           |  W/m2   |  -57.2938     |      -56       |   Wild 2020    |     -     |
|     hfss     |    Surface Sensible Heat Flux     |  W/m2   |  -16.9307     |      -21       |   Wild 2020    |     -     |
|     hfls     |     Surface Latent Heat Flux      |  W/m2   |  -77.0918     |      -82       |   Wild 2020    |     -     |
| net_sfc_nosn |     Net Surface (no snowfall)     |  W/m2   |    4.16003    |      0.6       |   Wild 2020    |     -     |
|   net_sfc    |            Net Surface            |  W/m2   |    3.38487    |      0.6       |   Wild 2020    |     -     |
| toamsfc_nosn | TOA - Sfc Net Radiation (no snow) |  W/m2   |   -0.536628   |       0        |      None      |     -     |
|   toamsfc    |      TOA - Sfc Net Radiation      |  W/m2   |    0.238535   |       0        |      None      |     -     |
